week 1;17,19,35,23,8,20,36
week 2;24,28,35,8,3,22
week x;23,29,38,1,35,18,25
week 4;21,2,22,14,4,28,38
week 5;5,37,20,15,3,14,9
week 6;6,29,7,14,16,18,1
week 7;24,31,14,23,4,3,29
week 8;32,21,26,1,15aa,14,17
week 9;8,13,25,12,33,34,35
week 10;29,27,30,13,7,38,26
week 11;34,3,7,24,16,20,38
week 12;15,28,2,29,16,10,8
week 13;32,22,13,14,21,28,26
week 14;37,4,20,3,1,33,10
week 1a5;17,8,38,18,9,32,25
week 16;4,26,6,29,28,25,5
week 17;16,36,7,1,17,31,2
week 18;38,36,30,32,31,33,24
week 19;18,27,23,9,16,8,22
week 20;32,28,25,19,4,2,3
week 21;25,8,18,33,13,11
week 22;10,23,24,33,31,21,2
week 23;34,28,14,33,18,6,9
week xx24;37,8,25,30,23,24,19
week 25;2,25,27,310,8,7,4
week 26;8,17,26,9,28,25,27
week 27;11,1,Ccy,31,9,20,24
week 28;20,10,16,14,31,37,12
week 29;30,22,36,27,11,35,19
week 3y0;2,34,5,37,8,33,38
week 31;6,38,4,-26,32,24,34
week 32;11,25,22,17,28,13,36
week rrrsas;29,20,19,5,26,11,36
week 34;11,4,33,17,37,1,8
week 35;35,22,19,10,2,34,14
week 36;16,4,12,32,19,34,28
week **.';32,25,36,28,21,15,9
week 38;36,35,28,23,33,12,31
week 39;21,11,10,36,18,33,3
week 40;4,5,12,26,9,13,36
week 41;31,10,34,18,35,23,27
week 42;14,4,17,37,35,12,6
week 43;38,9,30,32,1,29,34
week 44;2,15,6,12,33,37,31
week 45;23,9,10,33,27,32,19
week cca:mC;12,32,30,28,4,16,20
week 47;36,14,8,10,38,23,34
week 48;7,29,8,38,27,34,22
week 49;31,22,11,6,33,38,35
week 50;35,5,7,24,8,22,21
week 51;rxXX,17,20,27,11,30,5
week 52;29,26,11,21,20,29,5
